time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-17T07:26:51.300Z,36.7065,-99.3925,4.585,2.6,ml,,174,,0.22,us,us1000bujh,2018-03-14T00:58:20.040Z,"25km SE of Buffalo, Oklahoma",earthquake,2.3,5.2,,,reviewed,tul,tul
2017-12-16T23:34:43.600Z,36.7085,-99.3917,5.781,2.7,ml,,195,,0.37,us,us2000c5bk,2018-03-06T00:49:45.040Z,"25km ESE of Buffalo, Oklahoma",earthquake,1.9,6.1,,,reviewed,tul,tul
2017-12-16T13:38:16.500Z,35.889,-97.2831,5.92,3,ml,,28,,0.21,us,us2000c585,2018-03-06T00:49:44.040Z,"6km SSW of Langston, Oklahoma",earthquake,1.2,1.5,,,reviewed,tul,tul
2017-12-16T06:09:35.000Z,36.7391,-98.3708,7.488,2.5,ml,,87,,0.28,us,us2000c56e,2018-03-06T00:49:44.040Z,"2km SW of Cherokee, Oklahoma",earthquake,1.6,4.1,,,reviewed,tul,tul
2017-12-16T00:05:41.100Z,36.2324,-97.5449,7.441,2.8,ml,,40,,0.38,us,us2000c54x,2018-03-06T00:49:43.040Z,"23km WSW of Perry, Oklahoma",earthquake,1.2,4.9,,,reviewed,tul,tul
2017-12-15T18:08:55.100Z,36.1534,-97.6693,5,2.9,ml,,50,,0.37,us,us2000c501,2018-03-06T00:49:43.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,0.7,3.9,,,reviewed,tul,tul
2017-12-15T11:41:22.800Z,36.5118,-98.6412,5,3.1,ml,,,,0.11,us,us2000c4t6,2018-03-06T00:49:42.040Z,"30km NNW of Fairview, Oklahoma",earthquake,1.6,1.9,,,reviewed,tul,tul
2017-12-15T08:18:58.400Z,35.7956,-96.9594,7.097,3,ml,,52,,0.18,us,us2000c4r8,2018-03-06T00:49:42.040Z,"12km NW of Chandler, Oklahoma",earthquake,1.1,4.4,,,reviewed,tul,tul
2017-12-14T16:35:38.690Z,37.2027,-97.812,5.57,3,ml,,93,0.054,0.43,us,us2000c4d1,2018-03-06T00:49:41.040Z,"20km ENE of Anthony, Kansas",earthquake,1.1,3.5,0.142,19,reviewed,ismp,ismp
2017-12-14T16:29:21.660Z,37.2013,-97.812,4.52,3,ml,,92,0.054,0.21,us,us2000c4cx,2018-03-06T00:49:41.040Z,"20km ENE of Anthony, Kansas",earthquake,1,2,0.118,19,reviewed,ismp,ismp
2017-12-14T09:24:03.800Z,36.9628,-99.3796,3.458,2.9,ml,,196,,0.16,us,us2000c49k,2018-03-06T00:49:40.040Z,"26km ENE of Buffalo, Oklahoma",earthquake,3.6,5.6,,,reviewed,tul,tul
2017-12-14T05:19:54.900Z,36.4842,-97.2412,5.89,2.5,ml,,49,,0.15,us,us2000c483,2018-03-06T00:49:40.040Z,"22km N of Perry, Oklahoma",earthquake,1,5.7,,,reviewed,tul,tul
2017-12-12T23:55:35.000Z,35.4245,-97.9176,6.467,2.8,ml,,34,,0.41,us,us2000c3p1,2018-03-06T00:49:38.040Z,"4km NNE of Union City, Oklahoma",earthquake,1.7,4.9,,,reviewed,tul,tul
