API,Lat,Lon,WellTy,TotDep,FormName,ITDepth,IBDepth,Vol_2017,Vol_2016,Vol_2015,Vol_2014,Vol_2013,Vol_2012,Vol_2011,Pres_2017,Pres_2016,Pres_2015,Pres_2014,Pres_2013,Pres_2012,Pres_2011,2DCm,2DNC,2R,2RIn,2RSI,Arb,Bart,Booch,Bromide,Burgess,Calvin,Chase,Cisco,Clev,Crom,Deese,Dutcher,Gilcrease,Healdton,Hoxbar,Hunton,Layton,Loco,Morrow,Penn,Permian,Pont,Prue,Red,Simp,Skinner,Tatums,Viola,Wil,n_wells5,n_wells10,vol_wells5_2017,vol_wells10_2017,vol_wells5_2016,vol_wells10_2016,vol_wells5_2015,vol_wells10_2015,vol_wells5_2014,vol_wells10_2014,vol_wells5_2013,vol_wells10_2013,vol_wells5_2012,vol_wells10_2012,vol_wells5_2011,vol_wells10_2011,n_eq3_20,n_eq4_50
3501904557,34.34241,-97.45164,2RIn,4510.0,DEESE,2764.0,2778.0,161838.0,176082.0,232585.0,259422.0,229329.0,234214.0,234214.0,1500.0,1653.0833333333333,1680.0,1641.75,1585.4166666666667,1624.1666666666667,1624.1666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,482,24343434.0,101188594.0,25252386.29,97702729.455,26103807.0,97896531.0,25726853.071000002,101142541.071,21175768.0,92905715.0,21256175.0,89886952.0,20107255.0,90004385.0,0,0
3501904560,34.338784,-97.4429,2RIn,3950.0,DEESE,3661.0,3677.0,327307.0,340320.0,295736.0,283608.0,229672.0,207108.0,207108.0,1515.0,1515.0,1426.75,1597.0833333333333,1520.8333333333333,1412.5,1412.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,456,22652734.0,96404772.0,23092908.455,92810768.455,24994828.0,91589062.0,23799244.071000002,94475966.071,20619554.0,86275308.0,20552072.0,83159158.0,19507781.0,83557790.0,0,0
3501904564,34.333344,-97.4429,2RIn,4153.0,DEESE,3010.0,3657.0,60244.0,63369.0,62567.0,10228.0,14963.0,42038.0,42038.0,1750.0,1750.0,1576.9166666666667,1802.4166666666667,1742.9166666666667,1760.8333333333333,1760.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,443,21405812.0,91680748.0,21686606.29,88103815.455,23579296.0,86817596.0,22317727.071000002,89716032.07100001,19410715.0,81233535.0,19450026.0,78990311.0,18417027.0,78707964.0,0,0
3501904565,34.335157,-97.4429,2RIn,4116.0,DEESE,2257.0,3906.0,100615.0,96808.0,251599.0,330400.0,179032.0,69333.0,66333.0,1250.0,1237.0,1703.5833333333333,1782.3333333333333,1258.3333333333333,962.5,962.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,447,21548396.0,92321879.0,21878424.099999998,88555901.455,23751791.0,87588717.0,22508198.071000002,90591814.07100001,19753069.0,82116784.0,19848935.0,79793645.0,18726777.0,79602773.0,0,0
3501904568,34.338784,-97.44945,2RIn,3770.0,DEESE,3044.0,3731.0,340198.0,369850.0,365984.0,375104.0,334115.0,403999.0,396551.0,1505.0,1525.0,1484.6666666666667,1435.3333333333333,1239.5833333333333,1445.8333333333333,1753.3333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,471,21719236.0,99092920.0,22003820.29,95522789.455,23735928.0,95248757.0,22410671.071000002,98408660.071,19123789.0,90168681.0,19329293.0,87345114.0,18230935.0,87430374.0,0,0
3501904570,34.33697,-97.45164,2RIn,4400.0,,3248.187324929972,3546.1138550935175,58338.0,41722.0,78644.0,51423.0,50336.0,51827.0,53838.0,1700.0,1740.4166666666667,1789.4166666666667,1792.0,1736.25,1768.3333333333333,1752.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,470,21871987.0,98328612.0,22041032.0,94849633.455,23854811.0,94526434.0,22645010.0,97702850.071,19375238.0,89343566.0,19629182.0,86292928.0,18502461.0,86653347.0,0,0
3501904572,34.338783,-97.45383,2RIn,3848.849658314351,DEESE,3013.0,3213.0,413198.0,486606.0,363341.0,338728.0,365849.0,395777.0,401199.0,1200.0,1239.75,1015.3333333333334,1006.3333333333334,968.75,995.8333333333334,883.3333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,474,22336265.0,99999112.0,22450721.0,96496781.455,24311386.0,96504842.0,23146517.0,99541647.071,19860632.0,91343198.0,20165104.0,88637771.0,19007129.0,88664482.0,0,0
3501904576,34.335157,-97.44945,2RIn,4400.0,DEESE,3408.0,4108.0,45088.0,60465.0,75096.0,66698.0,48418.0,19097.0,22253.0,1750.0,1750.0,1788.4166666666667,1770.3333333333333,1667.9166666666667,1758.3333333333333,1621.3333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,461,21561324.0,96445240.0,21833614.0,92879068.455,23554057.0,91829628.0,22221465.0,94892563.07100001,18956202.0,86567028.0,19065915.0,83499912.0,18032613.0,84003827.0,0,0
3501904578,34.3335833333333,-97.4495,2RIn,4740.0,DEESE,3590.0,4375.0,86790.0,100941.0,88429.0,74305.0,57315.0,80160.0,80160.0,1731.5,1720.0,1768.3333333333333,1790.0,1750.8333333333333,1670.0,1670.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,455,21390575.0,94390413.0,21662927.0,90825891.455,23400633.0,89847866.0,22081512.0,92856699.07100001,18813101.0,84438821.0,18927118.0,81385913.0,17889185.0,81800387.0,0,0
3501904582,34.338809,-97.43854,2RIn,4710.0,DEESE,2716.0,3355.0,176842.0,119355.0,252263.0,349246.0,201479.0,236039.0,73030.0,400.0,400.8333333333333,842.4166666666666,951.0,679.1666666666666,629.1666666666666,308.3333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,450,22936404.0,93888329.0,23558310.455,89951271.455,25386185.0,88688872.0,23930091.071000002,91727473.071,20885025.0,83394232.0,20922549.0,80929569.0,19822039.0,80566685.0,0,0
